District	Name	Party	DC Office	DC Voice	District Voice	Electronic Correspondence	Web
IL14	Randy Hultgren	R	332 Cannon House Office Building	202-225-2976	630-232-7104	https://hultgrenforms.house.gov/index.cfm?sectionid=89&sectiontree=389	http://hultgren.house.gov/
IL15	John Shimkus	R	2452 Rayburn House Office Building	202-225-5271	618-252-8271	http://shimkus.house.gov/index.cfm?sectionid=54&sectiontree=5154	http://shimkus.house.gov/
IL16	Adam Kinzinger	R	1221 Longworth House Office Building	202-225-3635	815-726-4998	https://kinzingerforms.house.gov/email-adam	http://kinzinger.house.gov/
IL17	Cheri Bustos	D	1009 Longworth House Office Building	202-225-5905	N/A	https://bustos.house.gov/contact/email-me	http://bustos.house.gov/
IL18	Aaron Schock	R	328 Cannon House Office Building	202-225-6201	217-245-1431	http://schock.house.gov/contact/	http://schock.house.gov/
INSR	Dan Coats	R	493 Russell Senate Office Building	202-224-5623	317-554-0750	http://www.coats.senate.gov/contact/	http://www.coats.senate.gov/
INJR	Joe Donnelly	D	B33 Russell Senate Office Building	202-224-4814	317-226-5555	http://www.donnelly.senate.gov/contact.cfm	http://www.donnelly.senate.gov
IN01	Peter J. Visclosky	D	2256 Rayburn House Office Building	202-225-2461	219-795-1844	http://visclosky.house.gov/contact-pete/email-pete	http://visclosky.house.gov/
IN02	Jackie Walorski	R	419 Cannon House Office Building	202-225-3915	574-204-2645	https://walorski.house.gov/contact/email-me	http://walorski.house.gov/
IN03	Marlin Stutzman	R	1728 Longworth House Office Building	202-225-4436	260-599-0554	http://stutzman.house.gov/contacts/new	http://stutzman.house.gov/
IN04	Todd Rokita	R	236 Cannon House Office Building	202-225-5037	317-718-0404	https://rokita.house.gov/contact-me/email-me	http://rokita.house.gov/
IN05	Susan W. Brooks	R	1505 Longworth House Office Building	202-225-2276	317-848-0201	http://susanwbrooks.house.gov/contact	http://susanwbrooks.house.gov/
IN06	Luke Messer	R	508 Cannon House Office Building	202-225-3021	765-747-5566	https://messer.house.gov/contact/email-me	http://messer.house.gov/
IN07	Andre Carson	D	2453 Rayburn House Office Building	202-225-4011	317-283-6516	http://forms.house.gov/carson/webforms/issue_subscribe.htm	http://carson.house.gov/
IN08	Larry Bucshon	R	1005 Longworth House Office Building	202-225-4636	812-465-6484	https://bucshon.house.gov/contact-me/email-me	http://bucshon.house.gov/
IN09	Todd Young	R	1007 Longworth House Office Building	202-225-5315	812-336-3000	https://toddyoungforms.house.gov/index.cfm?sectionid=114&sectiontree=3114	http://toddyoung.house.gov/
KSSR	Pat Roberts	R	109 Hart Senate Office Building	202-224-4774	620-227-2244	http://www.roberts.senate.gov/public/index.cfm?p=EmailPat	http://www.roberts.senate.gov/public/index.cfm?p=Home
KSJR	Jerry Moran	R	354 Russell Senate Office Building	202-224-6521	913-393-0711	http://moran.senate.gov/public/index.cfm/e-mail-jerry	http://moran.senate.gov/public/
KS01	Tim Huelskamp	R	129 Cannon House Office Building	202-225-2715	785-309-0572	https://forms.house.gov/huelskamp/webforms/zipauthen_contact.shtml	http://huelskamp.house.gov/
KS02	Lynn Jenkins	R	1027 Longworth House Office Building	202-225-6601	620-231-5966	http://lynnjenkins.house.gov/index.cfm?sectionid=209&sectiontree=209	http://lynnjenkins.house.gov/index.html
KS03	Kevin Yoder	R	215 Cannon House Office Building	202-225-2865	913-621-0832	https://yoderforms.house.gov/email-me	http://yoder.house.gov/
KS04	Mike Pompeo	R	107 Cannon House Office Building	202-225-6216	316-262-8992	http://pompeo.house.gov/contact/	http://pompeo.house.gov/
KYSR	Mitch McConnell	R	317 Russell Senate Office Building	202-224-2541	606-864-2026	http://www.mcconnell.senate.gov/public/index.cfm?p=ContactForm	http://www.mcconnell.senate.gov/public/
KYJR	Rand Paul	R	208 Russell Senate Office Building	202-224-4343	270-782-8303	http://paul.senate.gov/?p=contact	http://paul.senate.gov/?p=home
KY01	Ed Whitfield	R	2184 Rayburn House Office Building	202-225-3115	270-442-6901	http://whitfield.house.gov/contact-ed/email-ed	http://whitfield.house.gov/
KY02	Brett Guthrie	R	308 Cannon House Office Building	202-225-3501	N/A	http://brettguthrieforms.house.gov/contact/	http://guthrie.house.gov/index.html
KY03	John Yarmuth	D	403 Cannon House Office Building	202-225-5401	502-582-5129	http://yarmuth.house.gov/index.cfm?sectionid=124&sectiontree=124	http://yarmuth.house.gov/index.html
KY04	Thomas Massie	R	314 Cannon House Office Building	202-225-3465	859-426-0080	http://massieforms.house.gov/contact/	http://massie.house.gov/
KY05	Hal Rogers	R	2406 Rayburn House Office Building	202-225-4601	606-439-0794	https://halrogers.house.gov/contact/contactform.htm	http://halrogers.house.gov/
KY06	Garland H. Barr, IV	R	1432 Longworth House Office Building	202-225-4706	N/A	https://barr.house.gov/contact/email-me	http://barr.house.gov/
LASR	Mary Landrieu	D	703 Hart Senate Office Building	202-224-5824	337-436-6650	http://www.landrieu.senate.gov/?p=contact	http://www.landrieu.senate.gov/
LAJR	David Vitter	R	516 Hart Senate Office Building	202-224-4623	504-589-2753	http://www.vitter.senate.gov/public/index.cfm?FuseAction=Contact.ContactForm	http://www.vitter.senate.gov/public/
LA01	Steve Scalise	R	2338 Rayburn House Office Building	202-225-3015	985-893-9064	https://scalise.house.gov/contact-me/email-me	http://scalise.house.gov/
LA02	Cedric Richmond	D	240 Cannon House Office Building	202-225-6636	504-365-0390	https://richmond.house.gov/contact-me/email-me	http://richmond.house.gov/
LA03	Charles W. Boustany, Jr.	R	1431 Longworth House Office Building	202-225-2031	337-433-1747	https://boustanyforms.house.gov/index.cfm?sectionid=96&sectiontree=496	http://boustany.house.gov/index.html
LA04	John Fleming	R	416 Cannon House Office Building	202-225-2777	318-549-1712	https://fleming.house.gov/contact/contactform.htm	http://fleming.house.gov/
LA05	Rodney Alexander	R	316 Cannon House Office Building	202-225-8490	318-445-0818	https://alexanderforms.house.gov/contact-form-cc8	http://alexander.house.gov/index.html
LA06	Bill Cassidy	R	1131 Longworth House Office Building	202-225-3901	225-929-7711	http://cassidy.house.gov/contact-bill	http://cassidy.house.gov/
MASR	John Kerry	D	218 Russell Senate Office Building	202-224-2742	508-677-0522	http://www.kerry.senate.gov/contact/	http://www.kerry.senate.gov/
MAJR	Elizabeth Warren	D	SR-C2 Russell Senate Office Building	202-224-4543	617-565-3170	http://www.warren.senate.gov/contact.cfm	http://www.warren.senate.gov/
MA01	Richard E. Neal	D	2208 Rayburn House Office Building	202-225-5601	413-785-0325	https://forms.house.gov/neal/webforms/Contact_Form.shtml	http://neal.house.gov/
MA02	Jim McGovern	D	438 Cannon House Office Building	202-225-6101	N/A	https://mcgovernforms.house.gov/contact-jim-mcgovern	http://mcgovern.house.gov/index.html
MA03	Niki Tsongas	D	1607 Longworth House Office Building	202-225-3411	978-681-6200	https://tsongasforms.house.gov/index.cfm?sectionid=117&sectiontree=116117	http://tsongas.house.gov/index.html
MA04	Joseph P. Kennedy, III	D	1218 Longworth House Office Building	202-225-5931	508-431-1110	https://kennedy.house.gov/contact/email-me	http://kennedy.house.gov/
MA05	Ed Markey	D	2108 Rayburn House Office Building	202-225-2836	508-875-2900	http://markey.house.gov/contact	http://markey.house.gov/
MA06	John F. Tierney	D	2238 Rayburn House Office Building	202-225-8020	781-595-7375	https://forms.house.gov/tierney/webform/issue_subscribe.htm	http://tierney.house.gov/
MA07	Michael E. Capuano	D	1414 Longworth House Office Building	202-225-5111	617-621-6208	http://www.house.gov/capuano/contact/email.shtml	http://www.house.gov/capuano/
MA08	Stephen F. Lynch	D	2133 Rayburn House Office Building	202-225-8273	617-428-2000	https://lynch.house.gov/contact-me/email-me	http://lynch.house.gov/
MA09	William Keating	D	315 Cannon House Office Building	202-225-3111	617-770-3700	https://forms.house.gov/keating/webforms/contact.shtml	http://keating.house.gov/
MDSR	Barbara Mikulski	D	503 Hart Senate Office Building	202-224-4654	410-546-7711	http://www.mikulski.senate.gov/contact/shareyouropinion.cfm	http://www.mikulski.senate.gov/
MDJR	Benjamin L. Cardin	D	509 Hart Senate Office Building	202-224-4524	410-962-4436	http://www.cardin.senate.gov/contact/	http://www.cardin.senate.gov/
MD01	Andy Harris	R	1533 Longworth House Office Building	202-225-5311	410-588-5670	https://harris.house.gov/contact-me/email-me	http://harris.house.gov/
MD02	C. A. Dutch Ruppersberger	D	2416 Rayburn House Office Building	202-225-3061	410-628-2701	http://dutch.house.gov/email-dutch.shtml	http://dutch.house.gov/
MD03	John Sarbanes	D	2444 Rayburn House Office Building	202-225-4016	410-295-1679	http://sarbanes.house.gov/federal.asp	http://sarbanes.house.gov/
MD04	Donna F. Edwards	D	2445 Rayburn House Office Building	202-225-8699	301-516-7601	http://donnaedwards.house.gov/index.cfm?sectionid=52&sectiontree=452	http://donnaedwards.house.gov/index.html
MD05	Steny Hoyer	D	1705 Longworth House Office Building	202-225-4131	301-474-0119	https://forms.house.gov/hoyer/webforms/zip_auth.shtm	http://hoyer.house.gov/
MD06	John Delaney	D	1632 Longworth House Office Building	202-225-2721	N/A	https://delaney.house.gov/contact/email-me	http://delaney.house.gov/
MD07	Elijah E. Cummings	D	2235 Rayburn House Office Building	202-225-4741	410-465-8259	https://cummings.house.gov/contact-me/email-me	http://cummings.house.gov/
MD08	Chris Van Hollen, Jr.	D	1707 Longworth House Office Building	202-225-5341	301-424-3501	http://vanhollen.house.gov/contact/	http://vanhollen.house.gov/
MESR	Susan Collins	R	413 Dirksen Senate Office Building	202-224-2523	207-784-6969	http://www.collins.senate.gov/public/index.cfm/email	http://www.collins.senate.gov/public/index.cfm/
MEJR	Angus King	I	188 Russell Senate Office Building	202-224-5344	207-786-2451	http://www.king.senate.gov/contact.cfm	http://www.king.senate.gov/
ME01	Chellie Pingree	D	1318 Longworth House Office Building	202-225-6116	207-774-5019	https://forms.house.gov/pingree/webforms/contact-form.shtml	http://pingree.house.gov/
ME02	Mike Michaud	D	1724 Longworth House Office Building	202-225-6306	207-764-1036	http://michaud.house.gov/email	http://michaud.house.gov/
MISR	Carl Levin	D	269 Russell Senate Office Building	202-224-6221	231-947-9569	https://www.levin.senate.gov/contact/email/	http://www.levin.senate.gov/
MIJR	Debbie Stabenow	D	133 Hart Senate Office Building	202-224-4822	313-961-4330	http://www.stabenow.senate.gov/?p=contact	http://www.stabenow.senate.gov/
MI01	Dan Benishek	R	514 Cannon House Office Building	202-225-4735	877-376-5613	https://benishek.house.gov/contact-me/email-me	http://benishek.house.gov/
MI02	Bill Huizenga	R	1217 Longworth House Office Building	202-225-4401	616-414-5516	http://huizenga.house.gov/contact/	http://huizenga.house.gov/
MI03	Justin Amash	R	114 Cannon House Office Building	202-225-3831	616-451-8383	https://amash.house.gov/contact-me/email-me	http://amash.house.gov/
MI04	Dave Camp	R	341 Cannon House Office Building	202-225-3561	231-876-9205	http://camp.house.gov/contact/	http://camp.house.gov/
MI05	Dan Kildee	D	327 Cannon House Office Building	202-225-3611	810-238-8627	https://dankildee.house.gov/contact/email-me	http://dankildee.house.gov/
MI06	Fred Upton	R	2183 Rayburn House Office Building	202-225-3761	269-982-1986	http://upton.house.gov/contact/zipauth.htm	http://upton.house.gov/
MI07	Tim Walberg	R	2436 Rayburn House Office Building	202-225-6276	517-780-9075	https://walbergforms.house.gov/contact-form	http://walberg.house.gov/
MI08	Mike Rogers	R	2112 Rayburn House Office Building	202-225-4872	517-702-8000	http://mikerogers.house.gov/contact/	http://mikerogers.house.gov/
MI09	Sandy Levin	D	1236 Longworth House Office Building	202-225-4961	586-498-7122	https://levin.house.gov/contact-me/email-me	http://levin.house.gov/
MI10	Candice Miller	R	320 Cannon House Office Building	202-225-2106	586-997-5010	https://candicemiller.house.gov/contact-me/email-me	http://candicemiller.house.gov/
MI11	Kerry Bentivolio	R	226 Cannon House Office Building	202-225-8171	248-859-2982	https://bentivolio.house.gov/contact/email-me	http://bentivolio.house.gov/
MI12	John D. Dingell	D	2328 Rayburn House Office Building	202-225-4071	734-481-1100	https://dingell.house.gov/contact-me/email-me	http://dingell.house.gov/
MI13	John Conyers, Jr.	D	2426 Rayburn House Office Building	202-225-5126	734-675-4084	http://conyers.house.gov/index.cfm?FuseAction=Contact.OnlineContactForm	http://conyers.house.gov/
MI14	Gary Peters	D	1609 Longworth House Office Building	202-225-5802	313-964-9960	https://petersforms.house.gov/index.cfm?sectionid=59&sectiontree=359	http://peters.house.gov/index.html
MNSR	Amy Klobuchar	D	302 Hart Senate Office Building	202-224-3244	507-288-5321	http://klobuchar.senate.gov/emailamy.cfm	http://klobuchar.senate.gov/
MNJR	Al Franken	D	309 Hart Senate Office Building	202-224-5641	507-931-5813	http://www.franken.senate.gov/?p=email_al	http://www.franken.senate.gov/
MN01	Tim Walz	D	1034 Longworth House Office Building	202-225-2472	507-206-0643	https://forms.house.gov/walz/webforms/zip_auth.shtm	http://walz.house.gov/
MN02	John Kline	R	2439 Rayburn House Office Building	202-225-2271	952-808-1213	https://klineforms.house.gov/index.cfm?sectionid=7&sectiontree=47	http://kline.house.gov/index.html
MN03	Erik Paulsen	R	127 Cannon House Office Building	202-225-2871	952-405-8510	https://paulsenforms.house.gov/contact-me	http://paulsen.house.gov/index.html
MN04	Betty McCollum	D	1714 Longworth House Office Building	202-225-6631	651-224-9191	https://mccollum.house.gov/contact-me/email-me	http://mccollum.house.gov/
MN05	Keith Ellison	D	2244 Rayburn House Office Building	202-225-4755	612-522-1212	http://forms.house.gov/ellison/webforms/issue_subscribe.htm	http://ellison.house.gov/
MN06	Michele Bachmann	R	2417 Rayburn House Office Building	202-225-2331	763-323-8922	http://bachmann.house.gov/contact/email-michele	http://bachmann.house.gov/
MN07	Collin Peterson	D	2109 Rayburn House Office Building	202-225-2165	320-235-1061	https://collinpeterson.house.gov/contact-me/email-me	http://collinpeterson.house.gov/
MN08	Rick Nolan	D	2447 Rayburn House Office Building	202-225-6211	218-545-4078	https://nolan.house.gov/contact/email-me	http://nolan.house.gov/
MOSR	Claire McCaskill	D	506 Hart Senate Office Building	202-224-6154	573-442-7130	http://mccaskill.senate.gov/?p=contact	http://mccaskill.senate.gov/
MOJR	Roy Blunt	R	260 Russell Senate Office Building	202-224-5721	816-471-7141	http://www.blunt.senate.gov/public/index.cfm/contact-form?p=contact-roy	http://www.blunt.senate.gov/public/
MO01	William Lacy Clay, Jr.	D	2418 Rayburn House Office Building	202-225-2406	314-367-1970	http://lacyclay.house.gov/index.cfm?sectionid=90&sectiontree=390	http://lacyclay.house.gov/index.html
MO02	Ann Wagner	R	435 Cannon House Office Building	202-225-1621	N/A	https://wagner.house.gov/contact/email-me	http://wagner.house.gov/
MO03	Blaine Luetkemeyer	R	2440 Rayburn House Office Building	202-225-2956	573-635-7232	http://luetkemeyer.house.gov/contact/	http://luetkemeyer.house.gov/
MO04	Vicky Hartzler	R	1023 Longworth House Office Building	202-225-2876	573-442-9311	https://hartzler.house.gov/contact-me/email-me	http://hartzler.house.gov/
MO05	Emanuel Cleaver, II	D	2335 Rayburn House Office Building	202-225-4535	816-833-4545	https://cleaver.house.gov/contact-me/email-me	http://cleaver.house.gov/
MO06	Sam Graves	R	1415 Longworth House Office Building	202-225-7041	816-792-3976	https://gravesforms.house.gov/index.cfm?sectionid=84&sectiontree=384	http://graves.house.gov/
MO07	Billy Long	R	1541 Longworth House Office Building	202-225-6536	471-781-1041	https://longforms.house.gov/index.cfm?sectionid=58&sectiontree=358	http://long.house.gov/
MO08	Jo Ann Emerson	R	2230 Rayburn House Office Building	202-225-4404	573-364-2455	https://forms.house.gov/emerson/webforms/contact.html	http://emerson.house.gov/
MSSR	Thad Cochran	R	113 Dirksen Senate Office Building	202-224-5054	228-867-9710	http://www.cochran.senate.gov/public/index.cfm/email-me	http://www.cochran.senate.gov/public/
MSJR	Roger Wicker	R	555 Dirksen Senate Office Building	202-224-6253	228-762-5400	http://www.wicker.senate.gov/public/index.cfm?FuseAction=Contact.EMailSenatorWicker	http://www.wicker.senate.gov/public/
MS01	Alan Nunnelee	R	1427 Longworth House Office Building	202-225-4306	662-841-8808	https://nunnelee.house.gov/contact-form	http://nunnelee.house.gov/
MS02	Bennie Thompson	D	2466 Rayburn House Office Building	202-225-5876	662-335-9003	https://forms.house.gov/benniethompson/contact-form.shtml	http://benniethompson.house.gov/
MS03	Gregg Harper	R	307 Cannon House Office Building	202-225-5031	601-693-6681	https://harperforms.house.gov/forms/writeyourrep/	http://harper.house.gov/
MS04	Steven Palazzo	R	331 Cannon House Office Building	202-225-5772	601-582-3246	https://palazzo.house.gov/contact-me/email-me	http://palazzo.house.gov/
MTSR	Max Baucus	D	511 Hart Senate Office Building	202-224-2651	406-365-7002	http://www.baucus.senate.gov/?p=contact	http://www.baucus.senate.gov/
MTJR	Jon Tester	D	724 Hart Senate Office Building	202-224-2644	406-723-3277	http://www.tester.senate.gov/?p=email_senator	http://www.tester.senate.gov/?p=home
MT00	Steve Daines	R	206 Cannon House Office Building	202-225-3211	406-969-1736	https://daines.house.gov/contact/email-me	http://daines.house.gov/
NCSR	Richard Burr	R	217 Russell Senate Office Building	202-224-3154	704-833-0854	http://burr.senate.gov/public/index.cfm?FuseAction=Contact.ContactForm	http://burr.senate.gov/public/
NCJR	Kay Hagan	D	521 Dirksen Senate Office Building	202-224-6342	704-334-2448	http://www.hagan.senate.gov/contact/	http://www.hagan.senate.gov/
NC01	G. K. Butterfield, Jr.	D	2305 Rayburn House Office Building	202-225-3101	252-237-9816	https://butterfield.house.gov/email-congressman-butterfield	http://butterfield.house.gov/index.html
NC02	Renee L. Ellmers	R	426 Cannon House Office Building	202-225-4531	910-230-1910	https://ellmersforms.house.gov/index.cfm?sectionid=58&sectiontree=358	http://ellmers.house.gov/
NC03	Walter B. Jones, Jr.	R	2333 Rayburn House Office Building	202-225-3415	800-351-1697	https://jones.house.gov/contact-me/email-me	http://jones.house.gov/
NC04	David Price	D	2162 Rayburn House Office Building	202-225-1784	910-339-9798	https://forms.house.gov/price/webforms/contact_form.shtml	http://price.house.gov/
NC05	Virginia Foxx	R	1230 Longworth House Office Building	202-225-2071	336-778-0211	https://virginiafoxx.house.gov/forms/writeyourrep/	http://www.foxx.house.gov/index.html
NC06	Howard Coble	R	2188 Rayburn House Office Building	202-225-3065	336-333-5005	http://coble.house.gov/contact/zipcheck.htm	http://coble.house.gov/
NC07	Mike McIntyre	D	2428 Rayburn House Office Building	202-225-2731	910-862-1437	http://mcintyreforms.house.gov/contact/	http://mcintyre.house.gov/
NC08	Richard Hudson	R	429 Cannon House Office Building	202-225-3715	704-786-1612	https://hudson.house.gov/contact/email-me	http://hudson.house.gov/
NC09	Robert Pittenger	R	224 Cannon House Office Building	202-225-1976	704-365-6234	http://pittenger.house.gov/contact	http://pittenger.house.gov/
NC10	Patrick McHenry	R	2324 Rayburn House Office Building	202-225-2576	828-327-6100	http://mchenry.house.gov/contact/zipauth.htm	http://mchenry.house.gov/
NC11	Mark Meadows	R	1516 Longworth House Office Building	202-225-6401	828-693-5660	https://meadows.house.gov/contact/email-me	http://meadows.house.gov/
NC12	Mel Watt	D	2304 Rayburn House Office Building	202-225-1510	336-275-9950	https://forms.house.gov/watt/webforms/zipauthen_contact.shtml	http://watt.house.gov/
NC13	George Holding	R	507 Cannon House Office Building	202-225-3032	919-856-9778	https://holding.house.gov/contact/email-me	http://holding.house.gov/
NDSR	John Hoeven	R	120 Russell Senate Office Building	202-224-2551	701-250-4618	http://hoeven.senate.gov/public/index.cfm/contact?p=email-the-senator	http://hoeven.senate.gov/public/
NDJR	Heidi Heitkamp	D	G55 Dirksen Senate Office Building	202-224-2043	N/A	N/A	N/A
ND00	Kevin Cramer	R	1032 Longworth House Office Building	202-225-2611	N/A	https://cramer.house.gov/contact/email-me	http://cramer.house.gov/
NESR	Mike Johanns	R	404 Russell Senate Office Building	202-224-4224	308-236-7602	http://www.johanns.senate.gov/public/?p=EmailSenatorJohanns	http://www.johanns.senate.gov/public/index.cfm
NEJR	Deb Fischer	R	825 Hart Senate Office Building	202-224-6551	402-391-3411	http://www.fischer.senate.gov/contact.cfm	http://www.fischer.senate.gov/
NE01	Jeff Fortenberry	R	1514 Longworth House Office Building	202-225-4806	402-727-0888	https://forms.house.gov/fortenberry/webforms/issue_subscribe.html	http://fortenberry.house.gov/
NE02	Lee Terry	R	2266 Rayburn House Office Building	202-225-4155	402-397-9944	http://www.house.gov/formleeterry/IMA/issue.htm	http://leeterry.house.gov/
NE03	Adrian Smith	R	2241 Rayburn House Office Building	202-225-6435	308-384-3900	https://adriansmith.house.gov/contact-me/email-me	http://adriansmith.house.gov/
NHSR	Jeanne Shaheen	D	520 Hart Senate Office Building	202-224-2841	603-542-4872	http://www.shaheen.senate.gov/contact/	http://www.shaheen.senate.gov/
NHJR	Kelly Ayotte	R	144 Russell Senate Office Building	202-224-3324	603-622-7979	http://www.ayotte.senate.gov/?p=contact	http://www.ayotte.senate.gov/
NH01	Carol Shea-Porter	D	1530 Longworth House Office Building	202-225-5456	603-641-9536	https://shea-porter.house.gov/contact/email-me	http://shea-porter.house.gov/
NH02	Ann McLane Kuster	D	137 Cannon House Office Building	202-225-5206	603-226-1002	http://kuster.house.gov/contact	http://kuster.house.gov/
NJSR	Frank R. Lautenberg	D	324 Hart Senate Office Building	202-224-3224	973-639-8700	http://lautenberg.senate.gov/contact/index1.cfm	http://lautenberg.senate.gov/
NJJR	Robert Menendez	D	528 Hart Senate Office Building	202-224-4744	973-645-3030	http://www.menendez.senate.gov/contact/?i=OTH	http://www.menendez.senate.gov/
NJ01	Robert E. Andrews	D	2265 Rayburn House Office Building	202-225-6501	856-546-5100	https://andrews.house.gov/contact-me/email-me	http://andrews.house.gov/
NJ02	Frank A. LoBiondo	R	2427 Rayburn House Office Building	202-225-6572	800-471-4450	https://lobiondo.house.gov/contact-me/email-me	http://www.house.gov/lobiondo
NJ03	Jon Runyan	R	1239 Longworth House Office Building	202-225-4765	856-780-6436	https://runyan.house.gov/contact-me/email-me	http://runyan.house.gov/
NJ04	Chris Smith	R	2373 Rayburn House Office Building	202-225-3765	609-585-7878	http://chrissmith.house.gov/contact/zipauth.htm	http://chrissmith.house.gov/
NJ05	Scott Garrett	R	2232 Rayburn House Office Building	202-225-4465	201-444-5454	https://garrett.house.gov/contact-me/email-me	http://garrett.house.gov/
NJ06	Frank Pallone, Jr.	D	237 Cannon House Office Building	202-225-4671	732-249-8892	https://pallone.house.gov/contact-me/email-me	http://pallone.house.gov/
NJ07	Leonard Lance	R	133 Cannon House Office Building	202-225-5361	908-788-6900	http://lance.house.gov/index.cfm?action=website.section&sectionid=125	http://lance.house.gov/index.html
NJ08	Albio Sires	D	2342 Rayburn House Office Building	202-225-7919	201-823-2900	http://sires.house.gov/contact-me/email-me	http://sires.house.gov//
NJ09	Bill Pascrell	D	2370 Rayburn House Office Building	202-225-5751	973-523-5152	http://pascrell.house.gov/contact/	http://www.pascrell.house.gov/
NJ10	Donald Payne, Jr.	D	103 Cannon House Office Building	202-225-3436	908-629-0222	http://payne.house.gov/contact/email-me	http://payne.house.gov/
NJ11	Rodney P. Frelinghuysen	R	2306 Rayburn House Office Building	202-225-5034	973-984-0711	https://frelinghuysenforms.house.gov/index.cfm?sectionid=29&sectiontree=1029	http://frelinghuysen.house.gov/
NJ12	Rush Holt	D	1214 Longworth House Office Building	202-225-5801	609-750-9365	https://forms.house.gov/holt/webforms/issue_subscribe.htm	http://holt.house.gov/
NMSR	Tom Udall	D	110 Hart Senate Office Building	202-224-6621	575-526-5475	http://www.tomudall.senate.gov/?p=contact	http://www.tomudall.senate.gov/?p=home
NMJR	Martin Heinrich	D	B40D Dirksen Senate Office Building	202-224-5521	505-325-5030	http://www.heinrich.senate.gov/contact.cfm	http://www.heinrich.senate.gov/
NM01	Michelle Lujan Grisham	D	214 Cannon House Office Building	202-225-6316	505-346-6781	https://lujangrisham.house.gov/contact/email-me	http://lujangrisham.house.gov/
NM02	Steve Pearce	R	2432 Rayburn House Office Building	202-225-2365	855-473-2723	https://pearce.house.gov/contact-me/email-me	http://pearce.house.gov/
NM03	Ben Ray Lujan	D	2446 Rayburn House Office Building	202-225-6190	505-863-0582	https://forms.house.gov/lujan/webforms/issue_subscribe.htm	http://lujan.house.gov/
NVSR	Harry Reid	D	522 Hart Senate Office Building	202-224-3542	775-882-7343	http://www.reid.senate.gov/contact/index.cfm	http://www.reid.senate.gov/
NVJR	Dean Heller	R	361A Russell Senate Office Building	202-224-6244	702-388-6605	http://heller.senate.gov/public/index.cfm/contact-form	http://heller.senate.gov/public/
NV01	Dina Titus	D	401 Cannon House Office Building	202-225-5965	N/A	https://titus.house.gov/contact/email-me	http://titus.house.gov/
NV02	Mark Amodei	R	222 Cannon House Office Building	202-225-6155	775-686-5760	https://amodeiforms.house.gov/contact-us	http://amodei.house.gov/
NV03	Joe Heck	R	132 Cannon House Office Building	202-225-3252	702-387-4941	https://heck.house.gov/contact-me/email-me	http://heck.house.gov/
NV04	Steven Horsford	D	1330 Longworth House Office Building	202-225-9894	N/A	https://horsford.house.gov/contact/email-me	http://horsford.house.gov/
NYSR	Charles E. (Chuck) Schumer	D	322 Hart Senate Office Building	202-224-6542	607-772-6792	http://www.schumer.senate.gov/Contact/contact_chuck.cfm	http://www.schumer.senate.gov/
NYJR	Kirsten Gillibrand	D	478 Russell Senate Office Building	202-224-4451	631-249-2825	http://www.gillibrand.senate.gov/contact/	http://www.gillibrand.senate.gov/
NY01	Tim Bishop	D	306 Cannon House Office Building	202-225-3826	631-289-6500	https://timbishop.house.gov/email-me	http://timbishop.house.gov
NY02	Pete King	R	339 Cannon House Office Building	202-225-7896	516-541-4225	Pete.King@mail.house.gov	http://peteking.house.gov/
NY03	Steve Israel	D	2457 Rayburn House Office Building	202-225-3335	631-777-7391	https://forms.house.gov/israel/webforms/webforms/zip_auth.shtm	http://israel.house.gov/
NY04	Carolyn McCarthy	D	2346 Rayburn House Office Building	202-225-5516	516-739-3008	https://carolynmccarthyforms.house.gov/contact-form	http://carolynmccarthy.house.gov
NY05	Gregory W. Meeks	D	2234 Rayburn House Office Building	202-225-3461	718-327-9791	https://meeks.house.gov/contact-me/email-me	http://meeks.house.gov/
NY06	Grace Meng	D	1317 Longworth House Office Building	202-225-2601	718-423-2154	https://meng.house.gov/contact/email-me	http://meng.house.gov/
NY07	Nydia M. Velazquez	D	2302 Rayburn House Office Building	202-225-2361	718-599-3658	http://velazquez.house.gov/IMA/issue_subscribe.shtml	http://velazquez.house.gov/index.shtml
NY08	Hakeem Jeffries	D	1339 Longworth House Office Building	202-225-5936	718-373-0033	https://jeffries.house.gov/contact/email-me	http://jeffries.house.gov/
NY09	Yvette D. Clarke	D	2351 Rayburn House Office Building	202-225-6231	718-287-1142	http://clarke.house.gov/contact/default.aspx	http://clarke.house.gov/
NY10	Jerrold Nadler	D	2110 Rayburn House Office Building	202-225-5635	212-367-7350	https://jerroldnadler.house.gov/forms/writeyourrep/default.aspx	http://nadler.house.gov/
NY11	Michael Grimm	R	512 Cannon House Office Building	202-225-3371	718-351-1062	https://grimm.house.gov/contact-me/email-me	http://grimm.house.gov/
NY12	Carolyn B. Maloney	D	2308 Rayburn House Office Building	202-225-7944	212-860-0606	https://maloney.house.gov/contact-me/email-me	http://maloney.house.gov/
NY13	Charles B. Rangel	D	2354 Rayburn House Office Building	202-225-4365	212-663-3900	https://rangel.house.gov/contact/email-me.shtml	http://rangel.house.gov/
NY14	Joseph Crowley	D	1436 Longworth House Office Building	202-225-3965	718-779-1400	https://crowley.house.gov/contact-me/email-me	http://crowley.house.gov/
NY15	Jose E. Serrano	D	2227 Rayburn House Office Building	202-225-4361	718-620-0084	https://serrano.house.gov/contact-me/email-me	http://serrano.house.gov/
